Word,Definition
Aha,ahaaha ahoahon. Open space operture see puaha etc.'
Aha,int. Expressing remonstrance warning mockery. '
ahaaha,n. Alarm shyness want of confidence. I ahua ahaaha ahau ki te whakapuaki ake i taua korero.—Kua tae noa ake te ahaaha ahaaha mataku nei.'
Ahahu,n. Assembly of the hapu for arranging a betrothal. see pakuhā'
Ahai,waipron. Who? Ko ahai to tane?'
Ahakoa,conj. 1.Although. Ahakoa kai tahi tera a roto te hahae ra (P.). Ahakoa nui te moana me aha? (T. 164).2.Notwithstanding. Otira ahakoa to ratou haere po mai i kitea ano ratou e Ngati Toa.3.Used with he and more correctly written as two words. What of that nevertheless. A mana ka totohu he aha koa? (T. 164). He aha koa ra hei haere noa ano (T. 186).4.Repeated whether … or. Ahakoa taua ahakoa tira haere noa e kore e ora (T. 175).'
Āhaku,pos. pron. pl. of tahaku My mine. Ka mutu ano nga tamariki ahaku ko ena (Tr. vii 37). Ko Whakatau-potiki ahaku (Tr. vii 49). see āku'
Āhana,pos. pron. pl. of tahana. His. He hopu tou ahana (Tr. vii 37). = āna (ii)'
Ahao,n. Spear with detachable point. (Po.)'
Āhau,pos. pron. pl. of tāhau Thy thine. see āu'
Āhau,n. Temporary breakwind for crops.'
Ahau,au awau awahaupron. 1st pers. sing. I me. Na Tinirau ahau i ngare mai (T. 59).   After the prepositions a o ma mo na no and the particles ta to the suffix ku is used in place of au thus: aku maku toku etc. Note that ahau does not take the prefix a but au does. Ka mea atu a Hinemoa “Homai ki ahau” (T. 133).'
Āhea,awhea a heaad. interrogative of future time. When? Ahea koe haere ai?'
Ahea atu,how far? see hea (i)'
Āheahea,n. Rainbow.'
Āhei,pt. 1.Able. Mo te whai rawa ake i a tatou e kore e ahei (T. 169). E kore au e ahei te ki atu.2.Possible within one''s power. Kaore e ahei i a ia te haere.'
Āhei,n. 1.Collar-bone. Ka werohia a Te Purewa tu tonu ki te ahei. see ā (i)2.A method of holding the spear against the collar-bone as a guard. Koinei tana tatai he ahei i te rakau.3.Snare spread between trees for birds. aheinga = ahei 3.'
Āheihei,heihein. Disturbance. Tutu ana te aheihei o te moana.'
Aheiha,ad. Truly exactly certainly. A form of assent.'
Āhere,1.n. Snare for birds etc.2.v.t. Fix snares.'
Aheu,n. A changeable wind from the southeast.'
Ahi,n. Fire. Tenei to ahi (T. 24).   As the first element of a compound word ahi is applied to a large class of karakia as ahitaitai ahitahoka ahi-taumata etc. Ahikaroa title to land by occupation. (J. ii 77 78 and vi 49–54) ahiahin. Evening. Kia ahiahi ka hoki mai ki roto ki tona whare (T. 46). ahiahitangapoetical n. Evening. Kia tangi atu au i te ahiahitanga (M. 252).'
Ahi,aiv.t. Beget.'
Ahikaea,n. The first month of spring.'
Ahikarae,n. Portions of the slain carried as tokens of victory. Ka tonoa e Tuwhakairiora etahi o nga toa hei karere ki a Te Aotaki me te twi hei kawe i te ahikarae i te mariunga o te patu me te pa tahuri (J. xx 23) see mariunga'
Ahikauri,n. Hatred.'
Āhiki,1.n. Footstep.2.v.i. Make haste. āhikihiki see ahiki 2'
Ahikomau,n. Pennantia corymbosa a tree. see kaikomako(Po.)'
Ahimaru,n. The second month of spring.'
Ahine,poetical see wahine'
Ahinui,n. The third month of spring.'
Ahipua,n. The fireplace on a canoe.'
Ahitere,a. Causing discord. He wahine ahitere (P. 29).'
Āhiwahiwa,v.t. Cut gash.'
Aho,n. 1.String line. Ka maro a raua aho (T. 25).2.Woof cross threads of a mat. Aho tahuhu first weft in weaving a garment. 3.Genealogy line of descent. Hapainga te aho o to tupuna (M. 413). E kore koe e tau hei whai ake mo te taki aho ariki (M. 412).4.Medium for an atua in divination. Kei piki koutou i te aho kei mate koutou. see reti niu'
Aho,1.n. Radiant light as opposed to diffused light. Ko te aho kua tae mai ki aku kamo (S. ii 62).2.v. Shine. Ka aho mai te maramatanga o te ra see mataaho tiaho ahoahoa. Pure white shining (but not applied to snow).'
Aho,ahoaho see aha (iii)n. Open space. Kei te ahoaho e noho ana kei te wahi marama. Note: (This is probably connected with see aho (ii))'
Aho,ahoahon. A fish ? porpoise. He aho taua ika e takoto ana i runga i te waka.—He ariki taniwha taua ika ahoaho.'
Ahorangi,n. Teacher of high standing in the school of learning.'
Ahore,kahoread. Not.'
Ahoroa,n. 1.Moon.2.Bright moonlight see aho (ii)'
Ahotea,uhitean. 1.An edible tuber see uwhi2. Phyllocladus trichomanoides a tree. = tanekaha3.Distress. To ratou manawapa nui me te ahotea o te ngakau mo te maumou o tenei wahine rangatira kia mate tamariki (W.M. xi 22).'
Ahotu,n. The moon on the seventh day. = Tamatea-tu-rua'
Ahowai,n. Design in carving.'
Ahowhare,n. Soot.'
Ahu,1.n. Heap mound.2.Sacred mound used in certain rites. Tohinga mauritanga o papa ma ki mua ki te ahu (M. 248) see tuaahu3.v.t. Heap up. Katahi ka ahu raua i ta raua tuaahu (W. v 75).4.a. Heaped up. He mea ahu nga onepu e nga ringaringa o te tohunga (M. lxxxiii). ahungan. Heaping up. Te ahunga one-one te aponga ki runga ra (M. 127). whakaahu1.v.t. Heap up lay in a heap. Whakaahua koe ki te ahi rarauhe (M. 5).   Whakaahutia he aruhe ki runga ahi.2.v.i. Swell up. Ka whakaahu toku puku.3.Be displeased dissatisfied. Katahi te tangata whakaahu ki aku kai.—Whakaahu ana au i te pukapuka a Henare: ko taku whakaahu tenei te haere ia ki Wharekahika kati mai ai. ahuahu1.v.t. Heap up. He mea ahuahu nga puke hei taunga mo a ratou teka.2.Earth up crops etc.3.n. The process of earthing up. I u mai a Paikea ki enei motu … i te wa i tupuketia ai te ahuahu (W. iii 35).'
Ahu,v.t. 1.Tend foster fashion. Na Tuparimaewaewa nana ahau i ahu mai ka kiia he tangata (T. 17). Kihai koe i ahua e tou matua (M. 115). Ka ahuria o iwi matariki e te rau e pae (M. 22). Ahu-whenua cultivate the soil. Kua marara nga tangata … ki a ratou mahi ahu-whenua i nga māra (W. v 20).   2.Treat with. To kiri i ahua ki te wai ngarahu (M. 28). ahuahuv.t. Tend foster fashion. Ahuahungia mai e Rongotakawiu ka tupu ko Whakatau (T. 57). I te wahi i ahua mai tenei mahi … a ahuahu te whenua a ahuahu te moana … e Io-matua. ahungan. Generation. Ata whaia ki tenei ahunga tangata (M. lxxi).   Ko taua kuia no te ahunga i a Kuoro. Whakaahu Whakaahu-te-ran. A star Castor or Pollux.'
Ahu,v.i. 1.Move in a certain direction. E ahu mai ana te waka.2.Point in a certain direction. Ka kitea ki nga waewae e takoto ana ahu tonu ki roto (T. 202). Ki te taha ahi e ahutia mai nga ihu waka i a Pararaki (S. 35). ahuahuv.i. 1.Be diminished. Kaore rawa kia ahuahu nga peka.2.Set of the sun. Kia ahuahu te ra ka kai ai tatou.'
Ahu,kahun. Garment. E kore au e mate i te ahu o Kuranui (P. 64).'
Āhua,1.n. Form appearance. Ae me koe na ano te ahua (T. 62).2.Form as opposed to substance. Ka tangohia e te patupaiarehe te ahua o nga whakakai (T. 181).3.Character. He tangata ahua pai.4.v.t. Form make. Ka ahua te pa ko Rangitawhi. whakaāhua1.v.t. Form fashion. Ka haere a Tane whakaahua i te oneone hei wahine mahana (Tr. vii 34).2.v.i. Acquire form. Kua oti ake ia te whakaahua ki te ahua o nga manu (T. 14). āhuahuav.i. Resemble. Ahuahua ana te kanohi o te tamaiti nei ki tona papa. āhuatiav. pass. 1.Be formed. Te kainga i ahuatia ai koutou e Tiki.2.Be near. Kahore ano kia ahuatia te haora mo te kai.3.Be full of the moon. Ahuatia koia te marama e te whakahinga atu ki Okehu (M. 106). āhuatangan. Likeness. Ka whakaahuatia hoki ahau ki to te manu ahuatanga (T. 18). whaka-whai-ahuav.t. Impart form to fashion.'
Āhua,v.i. Be pregnant. E. ahua ana te wahine.'
Āhua,v.i. 1.Hasten. E to e te ra ahua te whakangaro (M. 396). E to ra koia e te ra e ahua iara ko te whakangaro (M. 377).2.Approach. Ka ahua mai ki te matakitaki (T. 180).'
Ahūa,ad. Truly; a form of assent.'
Āhuaatua,n. Discourtesy rudeness.'
Āhuahunui,n. A pattern of carving.'
Āhuareka,a. 1.Pleasant agreeable entertaining. Ka ahuareka noa iho a raua nei korero ki a raua nei (T. 169).2.Pleased. E kore ahau e ahuareka ki tena mea.'
Āhukahuka,v.t. 1.Resemble coincide nearly. Kihai i ahukahuka mai tau korero i runga i taku.2.Become acquainted with. Nga tangata kua ahukahuka ki nga mahi a te pakeha ko ratou ano e matau (W.M. viii 89).3.Recognise. I ahukahuka atu ahau i taku tirohanga atu ki te tangata ra.4.Get near approach. Kihai i ahukahuka te kai-whai kihai i aha.'
Ahumairangi,n. 1.Form of whirlwind.2.Sacred place. see Ahurewa'
Āhumehume,a. 1.Suitable pleasing. Ahumehume tahi te kahu a te Tipua (Sh.T. 180).2.n. A woman''s garment reaching from waist to knee. see rapaki'
Ahungarua,a. Elderly approaching old age see ahu (ii)'
Ahunui,a. Industrious see ahu (ii)'
Ahupuke,n. Some part of the tuaahu used in connection with makutu.'
Ahurangi,1.a. Unsettled uncertain. Ahurangi ana taku nei titiro ki Ahuahu i raro.2.n. A form of tuaahu q.v.3.n. Person free from moral or spiritual blemish the antithesis of whiro. He whiro ranei koe he ahurangi ranei.'
Ahurei,1.a. Chief prominent unique.2.n. Glow splendour. see mana whakaahureiv.i. Shoot forth.'
Ahurei,v.t. Plant kumara see whakatopatopa'
Ahurewa,n. 1.Sacred place for the performance of mystic ceremonies. Ka kiia taua wahi he ahurewa ara ko te wahi tapu (Wa. 3). I taona ki te umu ki runga te ahurewa (J. ii 120) see ahu (i) tuaahu2.Watchman''s platform in a fort. Ko te ahurewa o te pa he pataka he mea hanga hei nohoanga mo te hunga whakaaraara i nga tangata o roto i te pa kia mataara tonu i te po.'
Ahuriri,n. 1.Weir dyke.2.A close low fence in a cultivation or across entrance to a pa to exclude pigs etc. Te maioro he mea mahi a roto ki te rarauhe me te korokio me nga mea kotau hei whakakaha mo ta ratou ahuriri.3.A funnel-shaped fishing net of great size used like a hinaki in tidal rivers.'
Āhuru,a. Warm comfortable. Kia moe atu au i te moenga ahuru (M. 21).'
Ahuru mowai:,calm sheltered haven. whakaahuruv.t. Warm nestle cherish. He whakaahuru kore mo to kiri (M. 26).'
Āhuru,āhuruhuru n Auchenoceros punctatus a sea fish scaleless about size of rawaru.'
Ahuwhenua,a. Industrious see ahu (ii)'
Ai,ad. Not generally to be translated by any equivalent English word but used in the following cases: 1.In relative clauses where the relative in English is governed by a verb or preposition. Kei kona nga tangata i kite ai au (There are the men whom I saw) (T. 116). Ka kitea he tikanga mana e mate ai tenei taniwha (He discovered a plan by which this monster might be killed) (T. 110).   Occasionally with passive verbs when the relative is the subject of the verb. Ka kitea te wahi i kimihia mai ai e ratou (The place was found which was sought for by them) (T. 121).2.In clauses expressing the reason for which anything is done or the object in view in doing it. He aha koe i whakaorangia ai? (Why were you saved alive?) (T. 46). Koia i tapa ai toku ingoa e te iwi nei ko Tatau (That is why this people gave me the name of Tatau) (T. 46). I tapa ai tena matenga ko Maikukutea no te mea ko nga maikuku kau i kitea (The place of this slaughter was called Maikukutea because there was nothing found but the finger-nails) (T. 93). He nuka na Kupe kia riro mai ai a Kuramarotini mana (It was an artifice of Kupe''s in order that he might obtain Kuramarotini for himself) (T. 109). Mo wai to wai i haere iho ai koe i te po? (For whom is your water that you come down to fetch it by night?) (T. 96). Te tangata nana nei ahau i maminga i haere mai ai ahau (The man who deceived me so that I came).3.In clauses marking the time or place of an action or event. Nonawhea koutou nei i u mai ai? (When was it that you arrived?) (T. 122). Kei te wai heru ano ka patu ai katahi ka mate (It is at the pool where he dresses his hair that you should strike him; then he will die) (T. 54).4.With a verb or adjective denoting an action or state consequent upon some previous action. Toia ake ki uta takoto ai i te po (It was drawn up on shore at night to lie there) (T. 76).5.Denoting present habitual condition or action. Noho noa ai nga tangata o tera motu; kaore e mahi kai (The men of that island live at ease; they do not cultivate food).6.With reference to something previously mentioned as aforesaid as already stated. I a ia ai i roto i te whare o ona tuakana (When he was as already stated in the house of his elder brothers) (T. 17). Po iho ai ka whiti mai a Hinemoa ki Mokoia (When the night came as aforesaid Hinemoa crossed over to Mokoia) (T. 135).7.In the phrase Ko wai i hua ai? or Ko wai i tohu ai? (Who would have thought?)8.With koi indicating a narrow escape. Koi rarua ai koe!'
Ai,v. substantive Te ai he aha hei whakaohooho mai (There was nothing to disturb them) (T. 117). Me e ai ana he toki maku (If there were an axe for me; If I had an axe). Mehemea e ai iwi toroa ana au (If I possessed some albatross bones). E ai au kuware! (What folly is yours!) Note: The following is an irregular use: Me he ai waka kua whiti atu ahau (If there were a canoe I would cross over). E ai ki tana or e ai tana it is according to his [saying] i.e. he says.   E ai in poetry as it were. Kia ringia te puna i aku kamo e ai te taheke (M. 133). Ka mangi noa au e ai te ao rere (M. 240).   '
Ai,v.t. 1.Lie with a female; copulate of both sexes. Aitia ana taua wahine a Maui e Tuna-roa (W. ii 109).2.Procreate beget. Nana i ai atu Kaitawhara (M. 208). aitangan. Progeny descendants (a frequent factor in tribal appellatives). Te aitanga a Tiki (The descendants of Tiki a tribe) (T. 145).   In poetical expression Te aitanga a Punga insects etc. Ngai as an element in tribal names seems to be connected with this see ati'
Ai,int. Expressing surprise. Ai! taukiri e! (T. 63). '
Aia,int. see kaitoa'
Aiahi,ahiahipoetical E muri aiahi takoto ki te moenga (S). '
Āianei,1.ad. Now today presently. Waihoki ko tenei e aku tuakana ka taea hoki e au tenei ka taea hoki e au tera atu aianei (T. 19).2.l.n. The present time. After the prep. i no o or part. to the letter n is prefixed and the prep. and n written as one word see inaianei nonaianei onaianei. Kotahi tonu tonaianei ko Tuhourangi (T. 77).   The word is sometimes broken by the insertion of tata see inaiatatanei Aihe1.n. Delphinus delphis dolphin.2.Driftwood. Kei te kapi te ara-a-waka i te aihe.3.a. Drifting. Ka haere te pipi aihe ka noho te tumu-whakarae (J. xvii 163). aihetiapass. Be driven ashore. Ko taua tuporo waro i aihetia ki uta e te tai ara i paea ki uta.'
Aihunga,hauhungan. Frost.'
Āinga,n. derived from see ā (ii)Violence driving force. I te wa e rere ai te kano o te perehia i te ainga a te hau ki te moana (W. iii 35).'
Āio,a. 1.Calm. Kaore ka aio te moana ka rewa (Pi. 135 4).2.At peace. He whenua aio. whakaaioa. Peaceful. Ka moe whakaaio ki te mate (S. ii 78). whakaaiohiapass. Used of making peace in antithesis to houhia te rongo. Ka houhia te rongo i tera pa e whakaaiohia ana i tetahi pa (P. 54).'
Aio,n. The moon on the eighth day. = Tamatea-tu-toru'
Aiopīpī,n. Settled calm.'
Airaia,conj. But. see otira raia'
Aitu,n. 1.Sickness calamity. Tenei te taka i te whare aitu (M. 334).2.Demon. Ka whiwhi te ringa o Aitu (M. 139). Te ika a te Aitu (M. 223).'
Aituā,1.a. Of ill omen unlucky. He aitua ina mahue te whare.2.Unfortunate in trouble. Na koutou hoki tatou i aitua ai. —Kei aitua tana tamaiti mo tana mahi he (W. i 99).3.n. Misfortune trouble distaste accident.4.Omen particularly evil omen. Ka matakite hei titiro i tona aitua (T. 175). (J. vii 120)'
Aiutu,Ka tatau te maro aiutu te eke mai he aiutu ki tenei matorohanga. '
Āka,n. Yearning affection. Kua mate a Rangi i te aka. = aroha.'
Āka,v.t. Clean off scrape away. Ko te iwi o Kahuparoro ki te koko i te aruhe ko te iwi o Rakaihikuroa ki te aka i te pei o te aruhe.'
Aka,n. Long and thin roots of trees or plants. Kei hopu tou ringa ki te aka taepa engari kia mau ki te aka matua (T. 48).1. Aka o tuwhenu and aka o te whenua (M. 289) a proverbial expression for fern root. He aruhe ko te aka o tuwhenua ko te kai e ora ai te tangata (M. 141).  2. Metrosideros albifloraand M. perforata climbing plants.3.Vine of any climbing plant; hence occurring in the names of many climbers. akaaka1.n. Fibrous roots.2.a. Having fibrous roots.3.n. State of turmoil Kei te akaaka nga rangi tuhaha.'
Aka,anga (Tahu.)q.v Ka kohitia te aka o te pupu ka whakapiri ki o raua kanohi (Tr. vii 43). Ko nga huruhuru o te upoko koia te aka (Tr. vii 40). '
Akahu,a. Shallow on the surface. Kia akahu to tarei i tena wahi kaua e u to toki see kahu ākahukahua. Indistinct scarcely visible.'
Akakaikiore,akakioren. Parsonsia heterophylla P. capsularis etc. climbing plants.'
Akakaikū,akakaikūkū akakūkūn. A climbing plant (Tetrapathaea tetrandra also a species of Clematis).'
Akakaimanu,n. Tetrapathaea tetrandra a climbing plant.'
Akakarena,n. A climbing plant.'
Akakiekie,n. Roots of kiekie ( Freycinetia banksii).'
Akakiore, see akakaikiore'
Akakoareare,n. Edible rhizome of raupo (Typha angustifolia). = koareare'
Akakongohe,n. A climbing plant.'
Akakopuka,akapukan. Griselinia lucida a climbing plant.'
Akakowhai,n. A climbing plant.'
Akakūkū, see akakaikū'
Akakura,n. 1. Metrosideros scandens a climbing plant.2.A weapon of the wood of this plant. Ai he akakura hei kokiri tau rawa atu ko Kaikoura ra (M. 196).3.A variety of kumara.'
Akapirita,piritan. Rhipogonum scandens supplejack a climbing plant.'
Akapohue,n. A creeping plant. = pohue( Calystegia sepium bindweed).'
Akapuka, see akakopuka'
Akaraupo,n. A variety of potato.'
Akarewa,n. A variety of taro purplish in colour.'
Akatātarāmoa,n. A climbing plant Rubus sp.'
Akatawhiwhi,n. Metrosideros scandens a climbing plant.'
Akatea,n. Metrosideros albifloraand M. perforata climbing plants. Ko te upoko i takaia ki te akatea (P. 55).'
Akatoki,n. A climbing plant with a thin strong stem used for lashing toki. = akatea torotoro'
Akatororaro,n. Tetrapathaea tetranda a climbing plant.'
Akatorotoro,n. Metrosideros perforata a climbing plant with a thin strong stem used for lashing toki.'
Akatotara,n. A climbing plant.'
Akaturihanga,n. A climbing plant with a very strong stem used for lashing.'
Ākau,n. 1.Shore coast especially rocky coast. Noho ana i te akau o te moana (T. 96). Akau roa and akaunga roa circuitous route. He akau roa ano tera he tukutata tenei. 2.Bank of a stream. Ka tango ia ki tana tira … ki te akau o te wai (M. lxxxiii).3.Reef. Ko te akau tera i tahuri ai taua waka ko Te Huripureiata.'
Akau,a.  Hoe akau steering paddle. Ka whakaturia nga kai mau o nga hoe; ko Taipupuni ki te hoe akau. '
Akawhero,n. A climbing plant.'
Ake,n. Dodonaea viscosa a tree. = akerautangi'
akeake,n. Dodonaea viscosa Olearia traversiiand other species trees.'
Ake,1.ad. Indicating immediate continuation in time. Haere ake haere ake ka morunga ake taua whare (T. 21).  Sometimes to be translated forthwith thenceforth. Titiro ana tetehi o nga pononga tikarohia ake te kanohi e Tongameha (T. 48).  When used with an imperf. verb ake unlike mai always precedes ana.  Mea ake or mea kau ake immediately soon in a very little while. No reira tana mohiotanga mea ake ia whakamatea hei utu mo taua tamaiti (T. 108).   Taro ake in a little while.  Ake ake ake for ever. Penei ka ora tonu te tangata ake ake ake (T. 7).   Note: (In speaking the a of the first ake is somewhat prolonged.)2.ad. intensifying the force of some local nouns adjectives and pronouns:  Ki runga ake higher up;   no mua ake some time before. I mua tata ake o te whawhai ki Waikato (Just before the Waikato war) (W. iv 48). Kei muri ake ano i a ratou etahi waka e hoe ana mai (A little after them were paddling some other canoes) (T. 121).   With an adjective or participle quite very. Pau ake nga taha (T. 94). Oti ake nga papa e rua (T. 35). A ka nui ake tona whakama (T. 186).  Taua ra ake that same day.  With a personal pronoun self. E wawata puku ana tetehi me tetehi ki a raua ake (T. 131.)    With a possessive pron. own. E kore e rite ki tana ake kai tino kai tino makona (P.).   When used thus with a pron. the order is sometimes varied thus: toku whare ake = toku ake whareHomai te paki whero o Uenuku na hei paki ake moku (T. 65).   3.Correlative of iho q.v. From below upwards. When persons or objects are thus relatively situated ake always qualifies the action or condition of that which is in the inferior position in respect of that which is in the superior position; this is so even though iho be not expressed. Te puna e hu ake ra i raro i te whenua (T. 154). Ka whakatika ake i roto i te wai (T. 134). E koutou e haka ake nei whakarongo ake koutou katoa (T. 65). Ma te pawa e ngau ake ka mate (T. 64).   4.Implying direction to some place connected with the speaker. but not where he is at the time of speaking. Engari ki te haere ake koe ki toku kainga haria ake ano he kai mau (S. 26).'
Ake,v.i. Go. Ka ake ki hea?'
Akeake,n. Poor land. Ko aku purapura i whakanohoia ki te akeake.'
Akengokengo,ad. Tomorrow.'
Akepiro,n. Olearia furfuracea a shrub.'
Akerautangi,n. 1. Dodonaea viscosa a tree. see ake (i)2.A weapon made of the same. I werohia pea ki te akerautangi (M. 112).'
Akewharangi,n. Olearia rani a tree. = heketara ngungu wharangipiro.'
Aki,1.v.t. Dash. Hohoro kau ana te tangata ki te aki i te patu ki nga kauae o te ika ra (T. 155).2.Beat pound. I rongo ake tera ki te turituri o te ngahiri e aki ana i te roi (W. iv 40).3.v.i. Dash. Ko te tai anake e aki ana (T. 93).4.Abut on. Mehemea ka tu tetehi whare ka aki mai te waha ki te tuarongo o tetehi he whare katore he aitua. akiakiv.t. Urge on. Kei te akiaki a Tamatea-a-moa “Tikina a tatou tangata totoia mai patua (W. iii 61).'
Aki,n. Boy. (Tahu.)'
Akiaki,n. Larus novaehollandiae scopulinus red-billed gull. = tarapunga'
Ākikō,ad. At a distance from home. E noho akiko ana taua tangata.'
Akiraho,n. Olearia paniculata a shrub.'
Akiri,v.t. Throw away reject. Akiritia nga otaota ki waho. ākirikiriv.t. Throw away piecemeal Tikina ana e raua hura ana nga toetoe o te whare akirikiritia ana.'
kitō,v.i. 1.Be slow.2.Trail as a garment.3.Be lengthened out. = akuto auto'
Akitu,1.v.t. Close in on fight. Hei akitu e nga hangarau i ahau (S. 77).2.n. Point end summit see aki (i)'
